schid,value,lowinc2015,act2015school,schoolTYPE
350785350260002,"Putnam County High School, Granville",34.8,19.7,HIGH SCHOOL
260290020260001,"V I T Sr High School, Table Grove",40.4,19.7,HIGH SCHOOL
440630190240002,"Alden-Hebron High School, Hebron",25.8,19.8,HIGH SCHOOL
470522750260001,"Ashton-Franklin Center HS, Ashton",35.3,19.8,HIGH SCHOOL
170640870250001,"Bloomington High School, Bloomington",49.6,19.8,HIGH SCHOOL
400070400260001,"Calhoun High School, Hardin",34.4,19.8,HIGH SCHOOL
030250300260001,"Dieterich Jr/Sr High School, Dieterich",27.9,19.8,HIGH SCHOOL
190221000160001,"Fenton High School, Bensenville",52.5,19.8,HIGH SCHOOL
170640040260001,"Heyworth Jr-Sr High School, Heyworth",25.6,19.8,HIGH SCHOOL
280372290260001,"Kewanee High School, Kewanee",69.1,19.8,HIGH SCHOOL
500820090260003,"Lebanon High School, Lebanon",46.1,19.8,HIGH SCHOOL
531020210260001,"Lowpoint-Washburn Jr Sr High Sch, Washburn",47.4,19.8,HIGH SCHOOL
330942380260001,"Monmouth-Roseville High Sch, Monmouth",58.7,19.8,HIGH SCHOOL
010750100260009,"Pittsfield High School, Pittsfield",52.7,19.8,HIGH SCHOOL
300910840260001,"Shawnee High School, Wolf Lake",99.2,19.8,HIGH SCHOOL
510840010260001,"Tri-City High School, Buffalo",32.7,19.8,HIGH SCHOOL
17053006J260001,"Tri-Point High School, Cullom",54.6,19.8,HIGH SCHOOL
060162120160001,"East Leyden High School, Franklin Park",49.8,19.9,HIGH SCHOOL
260290010260001,"Astoria High School, Astoria",59.4,19.9,HIGH SCHOOL
041013220260001,"Durand High School, Durand",29,19.9,HIGH SCHOOL
030250400260001,"Effingham High School, Effingham",39.2,19.9,HIGH SCHOOL
330482020260001,"Knoxville Sr High School, Knoxville",37,19.9,HIGH SCHOOL
110150020260001,"Mattoon High School, Mattoon",51.6,19.9,HIGH SCHOOL
400560340260001,"North Mac High School, Virden",49.1,19.9,HIGH SCHOOL
200962000260001,"Cisne High School, Cisne",45.9,19.9,HIGH SCHOOL
530903030160002,"Pekin Community High School, Pekin",49.7,19.9,HIGH SCHOOL
510840080260001,"Pleasant Plains High School, Pleasant Plains",11.1,19.9,HIGH SCHOOL
510840140260001,"Riverton High School, Riverton",45.2,19.9,HIGH SCHOOL
041012050250001,"Auburn High School, Rockford",79.3,19.9,HIGH SCHOOL
080432110260002,"Scales Mound High School, Scales Mound",31.7,19.9,HIGH SCHOOL
110213010260001,"Tuscola High School, Tuscola",28.4,19.9,HIGH SCHOOL
330943040260001,"United High School, Monmouth",46.4,19.9,HIGH SCHOOL
090101160220001,"Urbana High School, Urbana",64.8,19.9,HIGH SCHOOL
260621030260001,"West Prairie High School, Sciota",49,19.9,HIGH SCHOOL
010092620260002,"A-C Central High School, Ashland",44,20,HIGH SCHOOL
400560080260001,"Bunker Hill High School, Bunker Hill",40.6,20,HIGH SCHOOL
110870210260001,"Central A & M High School, Moweaqua",34.9,20,HIGH SCHOOL
300733000260001,"Duquoin High School, Du Quoin",49,20,HIGH SCHOOL
060164010260001,"Elmwood Park High School, Elmwood Park",38.3,20,HIGH SCHOOL
480722650260001,"Farmington Central High Sch, Farmington",37.9,20,HIGH SCHOOL
090270050260001,"GCMS High School, Gibson City",37.5,20,HIGH SCHOOL
260343070160001,"Illini West High School, Carthage",43.6,20,HIGH SCHOOL
350500010260001,"Leland High School, Leland",43.4,20,HIGH SCHOOL
211000020260001,"Marion High School, Marion",45.4,20,HIGH SCHOOL
390550150260001,"Meridian High School, Macon",36.9,20,HIGH SCHOOL
400560050260001,"Mt Olive High School, Mount Olive",43.8,20,HIGH SCHOOL
510840110260001,"Pawnee Jr/Sr High Sch, Pawnee",29.2,20,HIGH SCHOOL
160194300260001,"Sandwich Community High School, Sandwich",40.9,20,HIGH SCHOOL
400560090260001,"Southwestern High School, Piasa",34.6,20,HIGH SCHOOL
11087005A260001,"Stewardson-Strasburg High School, Strasburg",34.2,20,HIGH SCHOOL
080432060260003,"Stockton Sr High School, Stockton",40.1,20,HIGH SCHOOL
030110030260006,"Taylorville Sr High School, Taylorville",44.8,20,HIGH SCHOOL
010690270260001,"Triopia Jr-Sr High School, Concord",31.2,20,HIGH SCHOOL
56099209U260001,"Wilmington High School, Wilmington",41.3,20,HIGH SCHOOL
010860010260001,"Winchester High School, Winchester",41.4,20,HIGH SCHOOL
510840100260001,"Auburn High School, Auburn",31.2,20.1,HIGH SCHOOL
090100040260001,"Centennial High School, Champaign",55,20.1,HIGH SCHOOL
041011220220002,"Harlem High School, Machesney Park",46.7,20.1,HIGH SCHOOL
260290970260001,"Lewistown High School, Lewistown",39.7,20.1,HIGH SCHOOL
210610010260001,"Massac County High School, Metropolis",52.5,20.1,HIGH SCHOOL
170640160260009,"Olympia High School, Stanford",34.5,20.1,HIGH SCHOOL
080892030260001,"Orangeville High School, Orangeville",30.4,20.1,HIGH SCHOOL
470980020260001,"Fulton High School, Fulton",33.1,20.1,HIGH SCHOOL
490811000260001,"Riverdale Sr High School, Port Byron",26.2,20.1,HIGH SCHOOL
130586000160001,"Salem Community High School, Salem",47.9,20.1,HIGH SCHOOL
340491260170002,"New Tech High - Zion-Benton East, Zion",58.4,20.1,HIGH SCHOOL
030250100260001,"Altamont High School, Altamont",44.2,20.2,HIGH SCHOOL
500822010170001,"Belleville High School-East, Belleville",42.1,20.2,HIGH SCHOOL
320380040260001,"Central High School, Clifton",37.4,20.2,HIGH SCHOOL
170532300170001,"Dwight High School, Dwight",38.2,20.2,HIGH SCHOOL
400310100260001,"Greenfield High School, Greenfield",40,20.2,HIGH SCHOOL
120400010260001,"Newton Comm High School, Newton",40,20.2,HIGH SCHOOL
030680220260001,"Nokomis Jr/Sr High Sch, Nokomis",44.8,20.2,HIGH SCHOOL
470712200260001,"Oregon High School, Oregon",35.6,20.2,HIGH SCHOOL
350500020260001,"Serena High School, Serena",44.3,20.2,HIGH SCHOOL
280881000260001,"Stark County High School, Toulon",41.6,20.2,HIGH SCHOOL
110703000260004,"Sullivan High School, Sullivan",42,20.2,HIGH SCHOOL
440632000260009,"Woodstock North High School, Woodstock",41.7,20.2,HIGH SCHOOL
280372260260001,"Annawan High School, Annawan",22,20.3,HIGH SCHOOL
510652130260001,"Athens Sr High School, Athens",22.4,20.3,HIGH SCHOOL
070162300130002,"Amos Alonzo Stagg High School, Palos Hills",40.5,20.3,HIGH SCHOOL
190220870170001,"Glenbard East High School, Lombard",44.8,20.3,HIGH SCHOOL
110230030260001,"Kansas High School, Kansas",48.7,20.3,HIGH SCHOOL
11012002C260001,"Marshall High School, Marshall",38.7,20.3,HIGH SCHOOL
440631560160002,"McHenry  East High School, McHenry",32.3,20.3,HIGH SCHOOL
470712230260003,"Stillman Valley High School, Stillman Valley",32.4,20.3,HIGH SCHOOL
350501400170001,"Ottawa Township High School, Ottawa",37.9,20.3,HIGH SCHOOL
090270100260001,"Paxton-Buckley-Loda High School, Paxton",37.6,20.3,HIGH SCHOOL
560992020220002,"Plainfield South High School, Plainfield",30.4,20.3,HIGH SCHOOL
56099255U260001,"Reed-Custer High School, Braidwood",40.5,20.3,HIGH SCHOOL
120170020260001,"Robinson High School, Robinson",47.3,20.3,HIGH SCHOOL
490813000260001,"Rockridge High School, Taylor Ridge",21.2,20.3,HIGH SCHOOL
390550110260001,"Warrensburg-Latham High School, Warrensburg",36.6,20.3,HIGH SCHOOL
280063400260001,"Bureau Valley High School, Manlius",44.7,20.4,HIGH SCHOOL
150162990250772,"Chicago HS for Agricult Sciences, Chicago",51.7,20.4,HIGH SCHOOL
480723210260007,"Il Valley Central High School, Chillicothe",27.8,20.4,HIGH SCHOOL
050162070170004,"Maine West High School, Des Plaines",39.2,20.4,HIGH SCHOOL
440631560160001,"McHenry High School-West Campus, McHenry",32.7,20.4,HIGH SCHOOL
490810400220001,"Moline Sr High School, Moline",42.8,20.4,HIGH SCHOOL
030110010260002,"Morrisonville High School, Morrisonville",26.3,20.4,HIGH SCHOOL
090100040260002,"Central High School, Champaign",48.2,20.5,HIGH SCHOOL
150162990250851,"Chicago HS for the Arts, Chicago",56.8,20.5,HIGH SCHOOL
530907030260001,"Delavan High School, Delavan",44.8,20.5,HIGH SCHOOL
070162310160001,"Evergreen Park High School, Evergreen Park",33.8,20.5,HIGH SCHOOL
510652000260001,"Greenview Jr/Sr High School, Greenview",42.3,20.5,HIGH SCHOOL
350590070260001,"Midland High School, Varna",35.1,20.5,HIGH SCHOOL
110150050260002,"Oakland High School, Oakland",52.9,20.5,HIGH SCHOOL
480721500250025,"Richwoods High School, Peoria",45.7,20.5,HIGH SCHOOL
280065000150001,"Princeton High School, Princeton",34.1,20.5,HIGH SCHOOL
060162340160001,"Ridgewood Comm High School, Norridge",31.8,20.5,HIGH SCHOOL
110870040260001,"Shelbyville High School, Shelbyville",38.9,20.5,HIGH SCHOOL
050162140170006,"Wheeling High School, Wheeling",48.3,20.5,HIGH SCHOOL
010050010260001,"Brown County High School, Mount Sterling",36.2,20.6,HIGH SCHOOL
150162990250039,"King College Prep High School, Chicago",80.6,20.6,HIGH SCHOOL
190220880160002,"Willowbrook High School, Villa Park",48.2,20.6,HIGH SCHOOL
080083080260001,"Eastland Jr/Sr High School, Lanark",38.7,20.6,HIGH SCHOOL
240320730170001,"Gardner-South Wilmington Twp H S, Gardner",28.8,20.6,HIGH SCHOOL
010010020260001,"Liberty High School, Liberty",34.1,20.6,HIGH SCHOOL
560992020220004,"Plainfield East High School, Plainfield",29.7,20.6,HIGH SCHOOL
510652020260001,"Porta High School, Petersburg",35.5,20.6,HIGH SCHOOL
050162110170006,"Hoffman Estates High School, Hoffman Estates",50.6,20.6,HIGH SCHOOL
130140030260006,"Wesclin Sr High School, Trenton",26.3,20.6,HIGH SCHOOL
130950100260001,"Okawville Jr/Sr High School, Okawville",30.2,20.6,HIGH SCHOOL
130412050160001,"Woodlawn High School, Woodlawn",34.2,20.6,HIGH SCHOOL
470522720260001,"Amboy High School, Amboy",33.5,20.7,HIGH SCHOOL
030030020260001,"Bond Cty Comm Unit 2 High School, Greenville",39.8,20.7,HIGH SCHOOL
070162280160004,"Oak Forest High School, Oak Forest",31.4,20.7,HIGH SCHOOL
130140710160001,"Central Comm High School, Breese",23.3,20.7,HIGH SCHOOL
320380060260001,"Cissna Park Sr High School, Cissna Park",13.2,20.7,HIGH SCHOOL
070162330160001,"Homewood-Flossmoor High School, Flossmoor",23.5,20.7,HIGH SCHOOL
440630120260002,"Johnsburg High School, Johnsburg",24.1,20.7,HIGH SCHOOL
170540230260001,"Mount Pulaski High School, Mount Pulaski",34.8,20.7,HIGH SCHOOL
110180030260001,"Neoga Jr/Sr High School, Neoga",35,20.7,HIGH SCHOOL
310450460220005,"South Elgin High School, South Elgin",36.3,20.7,HIGH SCHOOL
400560060260001,"Staunton High School, Staunton",37.3,20.7,HIGH SCHOOL
470712210260004,"Forreston Jr/Sr High Sch, Forreston",32.5,20.8,HIGH SCHOOL
480723270260008,"Illini Bluffs High School, Glasford",24,20.8,HIGH SCHOOL
500820400260001,"Marissa Jr & Sr High School, Marissa",65.7,20.8,HIGH SCHOOL
350502800170001,"Mendota Twp High School, Mendota",49.9,20.8,HIGH SCHOOL
240473080260002,"Oswego East High School, Oswego",26.9,20.8,HIGH SCHOOL
240473080260001,"Oswego High School, Oswego",27.4,20.8,HIGH SCHOOL
110213020260001,"Villa Grove High School, Villa Grove",38.8,20.8,HIGH SCHOOL
130410010260001,"Waltonville High School, Waltonville",36.6,20.8,HIGH SCHOOL
240471150260001,"Yorkville High School, Yorkville",26.5,20.8,HIGH SCHOOL
320463070160001,"Bradley-Bourbonnais C High School, Bradley",42.7,20.9,HIGH SCHOOL
150162990250857,"Westinghouse High School, Chicago",84,20.9,HIGH SCHOOL
340491240160001,"Grant Community High School, Fox Lake",37.2,20.9,HIGH SCHOOL
170640020260003,"LeRoy High School, Le Roy",23.4,20.9,HIGH SCHOOL
170530080260001,"Prairie Central High School, Fairbury",38.5,20.9,HIGH SCHOOL
110150010260001,"Charleston High School, Charleston",42.4,21,HIGH SCHOOL
320460020260001,"Herscher High School, Herscher",28,21,HIGH SCHOOL
050162070170001,"Maine East High School, Park Ridge",45.6,21,HIGH SCHOOL
320460050260005,"Manteno High School, Manteno",34.4,21,HIGH SCHOOL
340491200130001,"Mundelein Cons High School, Mundelein",39,21,HIGH SCHOOL
041013210260001,"Pecatonica High School, Pecatonica",21.7,21,HIGH SCHOOL
56099207U260001,"Peotone High School, Peotone",27.4,21,HIGH SCHOOL
080432100260002,"River Ridge High School, Hanover",46.8,21,HIGH SCHOOL
531020600260001,"Roanoke-Benson High School, Roanoke",24.6,21,HIGH SCHOOL
260290040260001,"Spoon River Valley Sr High Sch, London Mills",44.9,21,HIGH SCHOOL
210441330170001,"Vienna High School, Vienna",52.9,21,HIGH SCHOOL
400560010260002,"Carlinville High School, Carlinville",38.6,21.1,HIGH SCHOOL
400310010260003,"Carrollton High School, Carrollton",39.6,21.1,HIGH SCHOOL
150162990250832,"Devry Advantage Academy High Schl, Chicago",77,21.1,HIGH SCHOOL
240320010260001,"Coal City High School, Coal City",25.6,21.1,HIGH SCHOOL
310453020260001,"Kaneland Senior High School, Maple Park",20,21.1,HIGH SCHOOL
080892020260001,"Lena-Winslow High School, Lena",41,21.1,HIGH SCHOOL
170544040160001,"Lincoln Comm High School, Lincoln",43.7,21.1,HIGH SCHOOL
130950990160001,"Nashville Comm High School, Nashville",28.2,21.1,HIGH SCHOOL
510840160260001,"New Berlin High School, New Berlin",34.3,21.1,HIGH SCHOOL
450791320260001,"Red Bud High School, Red Bud",33.1,21.1,HIGH SCHOOL
030250500260001,"Teutopolis High School, Teutopolis",10.1,21.1,HIGH SCHOOL
041013230260001,"Winnebago High School, Winnebago",26.6,21.1,HIGH SCHOOL
300391650160001,"Carbondale Comm H S, Carbondale",54.7,21.2,HIGH SCHOOL
340491170160001,"Antioch Comm High School, Antioch",20.8,21.2,HIGH SCHOOL
510841860250002,"Springfield High School, Springfield",36.8,21.2,HIGH SCHOOL
170200180260001,"Blue Ridge High School, Farmer City",39.3,21.3,HIGH SCHOOL
310453000260003,"Hampshire High School, Hampshire",30,21.3,HIGH SCHOOL
531020110260001,"El Paso-Gridley High School, El Paso",35.6,21.3,HIGH SCHOOL
440631540160001,"Marengo High School, Marengo",35.3,21.3,HIGH SCHOOL
240470180160001,"Newark Comm High School, Newark",24.5,21.3,HIGH SCHOOL
090103050160001,"St Joseph-Ogden High School, Saint Joseph",9.1,21.3,HIGH SCHOOL
090100070260007,"Unity High School, Tolono",25.4,21.3,HIGH SCHOOL
050162110170003,"Palatine High School, Palatine",50.3,21.3,HIGH SCHOOL
410570050260001,"Highland High School, Highland",29.6,21.4,HIGH SCHOOL
160194250260001,"Indian Creek High School, Shabbona",22.9,21.4,HIGH SCHOOL
260621850260001,"Macomb Senior High School, Macomb",39.2,21.4,HIGH SCHOOL
390550020260001,"Maroa-Forsyth Senior High Sch, Maroa",17.6,21.4,HIGH SCHOOL
280372230260001,"Orion High School, Orion",10.1,21.4,HIGH SCHOOL
330482080260001,"R O W V A Jr and  Sr High School, Oneida",38.1,21.4,HIGH SCHOOL
160194270260001,"Sycamore High School, Sycamore",20.6,21.4,HIGH SCHOOL
530903080160001,"Washington Comm High School, Washington",30.4,21.4,HIGH SCHOOL
110870010260002,"Windsor Jr & Sr High School, Windsor",48,21.4,HIGH SCHOOL
56099200U260001,"Beecher High School, Beecher",26.6,21.5,HIGH SCHOOL
030680020260001,"Lincolnwood High School, Raymond",37.3,21.5,HIGH SCHOOL
310450460220004,"Bartlett High School, Bartlett",39.1,21.5,HIGH SCHOOL
410570020260001,"Triad High School, Troy",20.3,21.5,HIGH SCHOOL
440632000260008,"Woodstock High School, Woodstock",43.5,21.5,HIGH SCHOOL
190220870170002,"Glenbard North High School, Carol Stream",36.1,21.6,HIGH SCHOOL
240321010160001,"Morris Community High School, Morris",23.7,21.6,HIGH SCHOOL
470980060260001,"Morrison High School, Morrison",36.9,21.6,HIGH SCHOOL
190222010260001,"Westmont High School, Westmont",41.3,21.7,HIGH SCHOOL
080892010260001,"Dakota Jr Sr High School, Dakota",30.7,21.7,HIGH SCHOOL
280372280260001,"Geneseo High School, Geneseo",21.7,21.7,HIGH SCHOOL
480723260260005,"Princeville High School, Princeville",21.5,21.7,HIGH SCHOOL
480723090260003,"Brimfield High School, Brimfield",24.2,21.8,HIGH SCHOOL
070162300130003,"Victor J Andrew High School, Orland Hills",21.3,21.8,HIGH SCHOOL
090100010260001,"Fisher Jr/Sr High School, Fisher",33.2,21.8,HIGH SCHOOL
560992050170001,"Lockport Township High Sch East, Lockport",22.4,21.8,HIGH SCHOOL
170640050260002,"Normal Community West High School, Normal",30.1,21.8,HIGH SCHOOL
240321110160001,"Minooka Community High School, Minooka",3.3,21.8,HIGH SCHOOL
390740250260001,"Monticello High School, Monticello",15.7,21.8,HIGH SCHOOL
050162190170002,"Niles North High School, Skokie",32.6,21.8,HIGH SCHOOL
450670050260001,"Waterloo High School, Waterloo",23.3,21.8,HIGH SCHOOL
110213050260001,"Arthur-Lovington-Atwood-Hammond High School, Arthur",33.8,21.9,HIGH SCHOOL
190220990160002,"Comm H S Dist 99 - South High Sch, Downers Grove",30.8,21.9,HIGH SCHOOL
480723220260004,"Elmwood High School, Elmwood",19.1,21.9,HIGH SCHOOL
470980010260001,"Erie High School, Erie",32.9,21.9,HIGH SCHOOL
531021400260001,"Eureka High School, Eureka",26.4,21.9,HIGH SCHOOL
500820770160001,"Freeburg Community High Sch, Freeburg",12,21.9,HIGH SCHOOL
110230040260002,"Paris Cooperative High School 4, Paris",18.5,21.9,HIGH SCHOOL
450670030260001,"Valmeyer High School, Valmeyer",24.5,21.9,HIGH SCHOOL
440631550160001,"Crystal Lake Central High School, Crystal Lake",29.5,22,HIGH SCHOOL
080431190220003,"East Dubuque High School, East Dubuque",24.4,22,HIGH SCHOOL
170640070260002,"Lexington High School, Lexington",23.8,22,HIGH SCHOOL
500820190260001,"Mascoutah High School, Mascoutah",20.3,22,HIGH SCHOOL
080892000260001,"Pearl City High School, Pearl City",27.5,22,HIGH SCHOOL
340491180260005,"Wauconda High School, Wauconda",31.3,22,HIGH SCHOOL
530907010260001,"Dee-Mack High School, Mackinaw",26.5,22.1,HIGH SCHOOL
080431200220002,"Galena High School, Galena",31.4,22.1,HIGH SCHOOL
340491270160002,"Grayslake North High School, Grayslake",11.5,22.1,HIGH SCHOOL
050162190170003,"Niles West High School, Skokie",32.2,22.1,HIGH SCHOOL
070162300130001,"Carl Sandburg High School, Orland Park",17.8,22.2,HIGH SCHOOL
470712260260001,"Byron High School 9-12, Byron",27,22.3,HIGH SCHOOL
560992100160003,"Lincoln-Way North High School, Frankfort",9.3,22.3,HIGH SCHOOL
050162110170004,"Schaumburg High School, Schaumburg",35.4,22.3,HIGH SCHOOL
050162140170002,"Elk Grove High School, Elk Grove Village",42.2,22.3,HIGH SCHOOL
150162990250047,"Lincoln Park High School, Chicago",59.9,22.4,HIGH SCHOOL
440631580220002,"Huntley High School, Huntley",16.2,22.4,HIGH SCHOOL
531021220170001,"Metamora High School, Metamora",15.6,22.4,HIGH SCHOOL
190221080160001,"Lake Park High School, Roselle",15.3,22.4,HIGH SCHOOL
070162100170001,"Lemont Twp High School, Lemont",15.1,22.4,HIGH SCHOOL
390550030260001,"Mt Zion High School, Mount Zion",19,22.4,HIGH SCHOOL
160194320260003,"Somonauk High School, Somonauk",18.1,22.4,HIGH SCHOOL
510840050260001,"Glenwood High School, Chatham",19.9,22.5,HIGH SCHOOL
340491170160002,"Lakes Community High School, Lake Villa",14.3,22.5,HIGH SCHOOL
440631550160003,"Crystal Lake South High School, Crystal Lake",19.1,22.5,HIGH SCHOOL
450670040260001,"Columbia High School, Columbia",12.3,22.5,HIGH SCHOOL
310453000260004,"Harry D Jacobs High School, Algonquin",26.1,22.5,HIGH SCHOOL
560992020220003,"Plainfield North High School, Plainfield",16.1,22.5,HIGH SCHOOL
440631570160001,"Richmond-Burton High School, Richmond",12,22.5,HIGH SCHOOL
340491210170001,"Warren Township High School, Gurnee",21.8,22.5,HIGH SCHOOL
041012070160001,"Hononegah High School, Rockton",23.1,22.6,HIGH SCHOOL
060162090170003,"Proviso Math and Science Academy, Forest Park",58.2,22.6,HIGH SCHOOL
51084003A260001,"Rochester High School, Rochester",12.8,22.6,HIGH SCHOOL
050162140170007,"Rolling Meadows High School, Rolling Meadows",32.8,22.6,HIGH SCHOOL
170640050260001,"Normal Community High School, Normal",25.8,22.7,HIGH SCHOOL
190220860170002,"Hinsdale South High School, Darien",32.2,22.8,HIGH SCHOOL
560992100160001,"Lincoln-Way Central High School, New Lenox",10.9,22.8,HIGH SCHOOL
211000050260001,"Carterville High School, Carterville",38.4,22.9,HIGH SCHOOL
310453010260001,"Central High School, Burlington",14.7,22.9,HIGH SCHOOL
150162990250833,"Lindblom Math & Science Acad HS, Chicago",67.2,22.9,HIGH SCHOOL
190222000260020,"Wheaton Warrenville South H S, Wheaton",25.2,22.9,HIGH SCHOOL
410570070260001,"Edwardsville High School, Edwardsville",16.5,22.9,HIGH SCHOOL
190220870170004,"Glenbard South High School, Glen Ellyn",26.8,22.9,HIGH SCHOOL
340491270160001,"Grayslake Central High School, Grayslake",12,22.9,HIGH SCHOOL
530907020260001,"Tremont High School, Tremont",12,22.9,HIGH SCHOOL
510840150260001,"Williamsville High School, Williamsville",8.6,22.9,HIGH SCHOOL
560992100160004,"Lincoln Way West, New Lenox",12.2,23,HIGH SCHOOL
050162110170001,"J B Conant High School, Hoffman Estates",26.6,23,HIGH SCHOOL
160194290260003,"Hinckley-Big Rock High School, Hinckley",14.5,23.1,HIGH SCHOOL
560992100160002,"Lincoln-Way East High School, Frankfort",8,23.1,HIGH SCHOOL
190222020260001,"Lisle High School, Lisle",34.4,23.1,HIGH SCHOOL
500822030170001,"O Fallon High School, O Fallon",23.5,23.1,HIGH SCHOOL
150162990250788,"Brooks College Prep Academy HS, Chicago",76.1,23.2,HIGH SCHOOL
190220870170003,"Glenbard West High School, Glen Ellyn",26.5,23.2,HIGH SCHOOL
440631550160002,"Cary-Grove Community High School, Cary",16.9,23.3,HIGH SCHOOL
190222040260001,"Waubonsie Valley High School, Aurora",25,23.3,HIGH SCHOOL
530907090260006,"Morton High School, Morton",14.5,23.3,HIGH SCHOOL
060162080170001,"Riverside Brookfield Twp HS, Riverside",17.9,23.3,HIGH SCHOOL
310453030260011,"St Charles East High School, St Charles",19.7,23.3,HIGH SCHOOL
050162140170008,"Buffalo Grove High School, Buffalo Grove",22.8,23.3,HIGH SCHOOL
310451010220001,"Batavia Sr High School, Batavia",14.9,23.4,HIGH SCHOOL
310453030260012,"St Charles North High School, St Charles",8.7,23.4,HIGH SCHOOL
190220990160001,"Comm H S Dist 99 - North H S, Downers Grove",20.9,23.6,HIGH SCHOOL
090100030260001,"Mahomet-Seymour High School, Mahomet",23,23.7,HIGH SCHOOL
170640030260002,"Tri-Valley High School, Downs",8.3,23.7,HIGH SCHOOL
440631550160004,"Prairie Ridge High School, Crystal Lake",13.6,23.8,HIGH SCHOOL
190222000260021,"Wheaton North High School, Wheaton",27.9,23.8,HIGH SCHOOL
060162000130001,"Oak Park & River Forest High Sch, Oak Park",22.4,23.8,HIGH SCHOOL
050162020170001,"Evanston Twp High School, Evanston",42.6,23.9,HIGH SCHOOL
190222040260005,"Metea Valley High School, Aurora",25.1,23.9,HIGH SCHOOL
050162070170003,"Maine South High School, Park Ridge",7.4,24,HIGH SCHOOL
190222050260003,"York Comm High School, Elmhurst",18,24.2,HIGH SCHOOL
340490950260001,"Lake Zurich High School, Lake Zurich",14.9,24.2,HIGH SCHOOL
310453040260001,"Geneva Community High School, Geneva",5.3,24.3,HIGH SCHOOL
060162040170001,"Lyons Twp High Sch, La Grange",15.8,24.3,HIGH SCHOOL
340492200260004,"Barrington High School, Barrington",21.3,24.4,HIGH SCHOOL
150162990250027,"Lane Technical High School, Chicago",59.4,24.4,HIGH SCHOOL
050162140170005,"Prospect High School, Mt Prospect",13.3,24.4,HIGH SCHOOL
190222030260001,"Naperville Central High School, Naperville",14.4,24.7,HIGH SCHOOL
050162140170004,"John Hersey High School, Arlington Heights",16.7,24.7,HIGH SCHOOL
480723230260004,"Dunlap High School, Dunlap",10.4,24.8,HIGH SCHOOL
050162250170002,"Glenbrook South High School, Glenview",21.6,24.9,HIGH SCHOOL
340491280160004,"Vernon Hills High School, Vernon Hills",12.6,25,HIGH SCHOOL
190222030260013,"Naperville North High School, Naperville",17.8,25.1,HIGH SCHOOL
340491130170002,"Highland Park High School, Highland Park",16.5,25.3,HIGH SCHOOL
050162110170002,"Wm Fremd High School, Palatine",15.6,25.4,HIGH SCHOOL
190222040260002,"Neuqua Valley High School, Naperville",10.6,25.6,HIGH SCHOOL
340491280160002,"Libertyville High School, Libertyville",5.3,25.7,HIGH SCHOOL
340491150160001,"Lake Forest High School, Lake Forest",3.6,26.1,HIGH SCHOOL
050162250170001,"Glenbrook North High School, Northbrook",8.1,26.1,HIGH SCHOOL
340491130170001,"Deerfield High School, Deerfield",3.6,26.4,HIGH SCHOOL
340491250130001,"Adlai E Stevenson High School, Lincolnshire",0.1,26.5,HIGH SCHOOL
190220860170001,"Hinsdale Central High School, Hinsdale",8.1,26.7,HIGH SCHOOL
150162990250533,"Jones College Prep High School, Chicago",44.9,27.1,HIGH SCHOOL
150162990250764,"Young Magnet High School, Chicago",41.1,27.5,HIGH SCHOOL
050162030170001,"New Trier Township H S Winnetka, Winnetka",3.9,27.5,HIGH SCHOOL
150162990250796,"Payton College Preparatory HS, Chicago",33.6,29.4,HIGH SCHOOL
150162990250794,"Northside College Preparatory Hs, Chicago",41.7,29.6,HIGH SCHOOL
